CustomerID,Lookalikes
C0001,"[('C0152', 1.0), ('C0174', 0.9938), ('C0085', 0.9148)]"
C0002,"[('C0159', 0.9799), ('C0134', 0.9595), ('C0043', 0.9079)]"
C0003,"[('C0031', 0.9871), ('C0129', 0.981), ('C0158', 0.9727)]"
C0004,"[('C0012', 0.9889), ('C0102', 0.9403), ('C0113', 0.9337)]"
C0005,"[('C0007', 0.9922), ('C0140', 0.987), ('C0177', 0.8832)]"
C0006,"[('C0187', 0.9771), ('C0048', 0.8925), ('C0076', 0.8824)]"
C0007,"[('C0005', 0.9922), ('C0140', 0.9786), ('C0177', 0.886)]"
C0008,"[('C0109', 0.9831), ('C0098', 0.9538), ('C0194', 0.9243)]"
C0009,"[('C0198', 0.9866), ('C0132', 0.785), ('C0074', 0.7785)]"
C0010,"[('C0132', 0.9774), ('C0061', 0.9699), ('C0074', 0.8095)]"
C0011,"[('C0107', 0.9996), ('C0126', 0.9542), ('C0192', 0.8876)]"
C0012,"[('C0004', 0.9889), ('C0148', 0.9368), ('C0102', 0.9309)]"
C0013,"[('C0087', 0.995), ('C0155', 0.9931), ('C0099', 0.9876)]"
C0014,"[('C0060', 0.9994), ('C0089', 0.9205), ('C0097', 0.8924)]"
C0015,"[('C0131', 0.9807), ('C0036', 0.9042), ('C0144', 0.8624)]"
C0016,"[('C0183', 1.0), ('C0034', 0.9529), ('C0029', 0.8404)]"
C0017,"[('C0075', 0.9802), ('C0051', 0.9719), ('C0041', 0.9556)]"
C0018,"[('C0067', 0.8885), ('C0117', 0.886), ('C0122', 0.8706)]"
C0019,"[('C0070', 0.8461), ('C0172', 0.8043), ('C0119', 0.7859)]"
C0020,"[('C0058', 0.8641), ('C0033', 0.8638), ('C0130', 0.8633)]"
